location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,花彦くん,花彦君,,,boss_00000_00000001,,
,花彦くん,花彦君,,,boss_00000_00000002,,
,森のシミ男,林中的斑痕男,,,boss_00000_00000003,,
,森のシミ男,林中的斑痕男,,,boss_00000_00000004,,
,くちゃら花嫁,咀嚼新娘,,,boss_00000_00000005,,
,くちゃら花嫁,咀嚼新娘,,,boss_00000_00000006,,
,ずう先生,Zoo老师,,,boss_00000_00000007,,
,ずう先生,Zoo老师,,,boss_00000_00000008,,
,観音兵,观音兵,,,boss_00000_00000009,,
,観音兵,观音兵,,,boss_00000_0000000a,,
,赤ずきん,小红帽,,,boss_00000_0000000b,,
,赤ずきん（人）,小红帽（人）,,,boss_00000_0000000c,,
,赤ずきん,小红帽,,,boss_00000_0000000d,,
,赤ずきん（怪異）,小红帽（怪异）,,,boss_00000_0000000e,,
,,,,,boss_00000_0000000f,,
,,,,,boss_00000_00000010,,
