location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,張り紙には注意やお知らせが書いてある……,,,,main_400c9_00140049,,
,注意と連絡どちらを読もうか？,,,,main_400c9_00150049,,
,注意と連絡,,,,main_400c9_00180039,,
,落とし物をした人は,,,,main_400c9_00190039,,
,「……ここだよ…………」,,,,main_400ca_00370048,,
,「前はこの鏡の前まで来たの。,,,,main_400ca_00390048,,
,　間違いないって」,,,,main_400ca_003a0048,,
,「なるほど……」,,,,main_400ca_003f0049,,
,「これが、問題の鏡ですね……,,,,main_400ca_00460048,,
,　特にヘンな所はないみたいだけど……」,,,,main_400ca_00470048,,
,そのとき……,,,,main_400ca_00560049,,
,じくりと、手首に鈍い痛みが走った。,,,,main_400ca_00570049,,
,まるで肉に食い込むような痛みだ……,,,,main_400ca_005c0049,,
,痛みから意識をそらすように、,,,,main_400ca_00640049,,
,@y1との会話を続ける。,,,,main_400ca_00650049,,
,「見た限りは普通だな」,,,,main_400ca_00750049,,
,「う、うん……　どうしよっか」,,,,main_400ca_00880048,,
,「……どうします？」,,,,main_400ca_008f0048,,
,ヒビ割れた鏡だ……,,,,main_400ca_00ac0049,,
,汚れとヒビで、自分の姿すらよく見えない。,,,,main_400ca_00ad0049,,
,汚れた鏡だ……,,,,main_400ca_00b10049,,
,シミだらけで、自分の姿すらよく見えない。,,,,main_400ca_00b20049,,
,鏡にはヒビが走っている……,,,,main_400ca_00c10049,,
,その他に特に異常はない。,,,,main_400ca_00c20049,,
,「…………………」,,,,main_400ca_00ca0049,,
,無言で鏡に向き合い、顔を近づけて,,,,main_400ca_00d90049,,
,その曇った表面を覗き込んだ……,,,,main_400ca_00da0049,,
,やはり何もはっきりとは見えない。,,,,main_400ca_00dc0049,,
,自分の影が、ぼんやりした黒い塊となって,,,,main_400ca_00de0049,,
,写り込むだけだ……,,,,main_400ca_00df0049,,
,ヒビを指でなぞってみる。,,,,main_400ca_00f40049,,
,その様子を@y1は,,,,main_400ca_00f60049,,
,少し不安そうに見守っていたが……,,,,main_400ca_00f70049,,
,特に何も異常は起きなかった。,,,,main_400ca_00f90049,,
,「…………………」,,,,main_400ca_01020049,,
,正面に立ち、その鼠色の鏡面を,,,,main_400ca_01110049,,
,だまって指で拭ってみた……,,,,main_400ca_01120049,,
,やはり何もはっきりとは見えない。,,,,main_400ca_01140049,,
,自分の影が、ぼんやりした黒い塊となって,,,,main_400ca_01160049,,
,写り込むだけだ……,,,,main_400ca_01170049,,
,花彦くんは@1r赤いの@7rと言っていた。,,,,main_400ca_012b0049,,
,もしかするとと思い、@1r@i1@7rを,,,,main_400ca_012d0049,,
,鏡へと近づけてみる……,,,,main_400ca_012e0049,,
,しかし、特に変化はなかった。,,,,main_400ca_01320049,,
,ふと思い立って@1r@i1@7rを取り出した。,,,,main_400ca_01440049,,
,「ちょっとちょっと……　どうすんの？」,,,,main_400ca_014a0048,,
,「そ、それで何するんです？」,,,,main_400ca_01500048,,
,正面に立ち、その鼠色の鏡面に,,,,main_400ca_01610049,,
,@1r@i1@7rを近づけてみる……,,,,main_400ca_01620049,,
,棚の上に段ボール箱がある。,,,,main_400cb_00100049,,
,何とか手が届きそうだ。,,,,main_400cb_00110049,,
,箱の側面にはマジックで何か,,,,main_400cb_00190049,,
,書いてある……,,,,main_400cb_001a0049,,
,『落とし物……』までは読めたが、,,,,main_400cb_001c0049,,
,残りの文字ははっきりとしない。,,,,main_400cb_001d0049,,
,ぐっと背をそらして箱を取り上げ、,,,,main_400cb_002d0049,,
,中を探ってみた。,,,,main_400cb_002e0049,,
,【@1r口紅@7r】・【@1r赤のボールペン@7r】　,,,,main_400cb_00380049,,
,【@1r女子の上履き@7r】を手に入れた。,,,,main_400cb_00390049,,
,「さっすが、おじさん！,,,,main_400cb_00470048,,
,　背、高いもんね」,,,,main_400cb_00480048,,
,「助かりますよ、背が高くて」,,,,main_400cb_00520048,,
,いちいち言い方が気に障る子供だ……,,,,main_400cb_00570049,,
,教室内に入ろうと敷居をまたいだ瞬間……,,,,main_400cc_00230049,,
,突然……　強烈な力で左肩を掴まれた。,,,,main_400cc_00350049,,
,横目で盗み見るように、廊下に目をやる……,,,,main_400cc_00490049,,
,@y1は反対側にいたはず。,,,,main_400cc_004f0049,,
,いや、たとえこちらに居たとしても、,,,,main_400cc_00510049,,
,そんなことをする理由がない。,,,,main_400cc_00520049,,
,「お、落ち着け……　さ、錯覚だ」,,,,main_400cc_00660049,,
,自らに言い聞かせる声が遠くに聞こえた。,,,,main_400cc_00690049,,
