location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,◆Ｈ城樹海と森のシミ男,,,,main_10002_002c0048,,
,自殺や死体遺棄など、怪奇な事件と噂に覆われたＨ城樹海。,,,,main_10002_002d0048,,
,ゆえに、今や観光や散策で森を訪れる者はほとんどなく,,,,main_10002_002e0048,,
,稀に肝試しに遊び半分の若者たちが来る程度だという。,,,,main_10002_002f0048,,
,また、昼でも薄暗い林道は、同種の樹木や植物が生い茂り,,,,main_10002_00300048,,
,風景に変化が少ない事から、迷い易い森としても知られる。,,,,main_10002_00310048,,
,そんな危険渦巻く樹海の噂に、とある奇怪な男の話がある。,,,,main_10002_00320048,,
,◆Ｈ城樹海と森のシミ男,,,,main_10002_00420048,,
,森のシミ男。その名の通り体に黒いシミがあり、出会った者に,,,,main_10002_00430048,,
,蜂の話をするという。不気味な声で「蜂が好きかい」と。,,,,main_10002_00440048,,
,そして……「はい」と答えた者を笑いながら襲うというのだ。,,,,main_10002_00450048,,
,ただの変質者にも思えるが、これが今回のシルシの怪異か……,,,,main_10002_00470048,,
,いずれにせよ、Ｈ城樹海へ向かい調査する他ないだろう。,,,,main_10002_00480048,,
,◆自殺志願者,,,,main_10002_00580048,,
,卒塔婆の先の道を進むと、木村正男と名乗る中年が現れた。,,,,main_10002_00590048,,
,自殺目的で森へ入ったであろう男は興奮した様子だったが,,,,main_10002_005a0048,,
,落ち着いて話をすると、自殺を思い留まってくれたようだ。,,,,main_10002_005b0048,,
,正男は去り際に、黒いシミだらけの男を見たと言っていた。,,,,main_10002_005d0048,,
,まだこの辺りにいるだろうか……　道の先へ行ってみよう。,,,,main_10002_005e0048,,
,◆山小屋の死体,,,,main_10002_006d0048,,
,森の奥の山小屋で、麻袋に入った奇妙な死体を発見した。,,,,main_10002_006e0048,,
,死体の全身には、蜂蜜らしき粘液が塗り込まれていた。,,,,main_10002_006f0048,,
,恐らく自殺ではないだろう。ならば誰が何のために……,,,,main_10002_00700048,,
,小屋の中は妙に整頓されており、犯人と思しき者が,,,,main_10002_00720048,,
,ここを日常的に使っている様子が窺えた。,,,,main_10002_00730048,,
,◆噴霧器の入手,,,,main_10002_00830048,,
,さらに、噴霧器という薬液などを撒く道具を入手した。,,,,main_10002_00840048,,
,同時に、またも背後霊のような、あの声が囁いた。,,,,main_10002_00850048,,
,「操る者は……　自らもまた操られる……」,,,,main_10002_00860048,,
,いつも突然で驚かされるが、思えばこれまでの言葉に、嘘は,,,,main_10002_00880048,,
,なかったように思う。存外悪い霊ではないのかもしれない……,,,,main_10002_00890048,,
,◆謎の神社,,,,main_10002_00980048,,
,樹海探索の道すがら、あの黒いウサギが現れた。,,,,main_10002_00990048,,
,とっさに後を追ってみると、傾いた古い鳥居に辿り着いた。,,,,main_10002_009a0048,,
,鳥居の奥には、神社があるのだろうか……,,,,main_10002_009b0048,,
,神社を調べたいが、鳥居にあるスズメバチの巣が唸りを上げ,,,,main_10002_009d0048,,
,侵入者を拒んでいる。今は触らず、他を調べてまわろう。,,,,main_10002_009e0048,,
,◆山小屋と印人,,,,main_10002_00ad0048,,
,噴霧機で蜂を鎮めて森を進み、２つ目の山小屋を見つけた。,,,,main_10002_00ae0048,,
,中へ入るとそこには、死体ではなく生きている女がいた。,,,,main_10002_00af0048,,
,女は有村クリスティという名の元キャスターだという。,,,,main_10002_00b00048,,
,彼女は自殺を考えて森へ入った様子だったが、異様な状況と,,,,main_10002_00b10048,,
,我々との遭遇でそれは思い留まったようだ。にも関わらず、,,,,main_10002_00b20048,,
,その彼女には既にシルシがあった。皮肉としか言えない。,,,,main_10002_00b30048,,
,◆山小屋と印人,,,,main_10002_00c30048,,
,いずれにせよ、彼女のシルシはシミ男によるものか……,,,,main_10002_00c40048,,
,そう話している時だった、突然に懐中電灯が消えたのは。,,,,main_10002_00c50048,,
,故障ではなかった。花彦くんの時と同様に、霊障に違いない。,,,,main_10002_00c60048,,
,ゆっくりと小屋に迫る気配……　早く、逃げなくては……,,,,main_10002_00c70048,,
,迷ったり、寄り道をしている暇はないだろう。,,,,main_10002_00c80048,,
,樹海の入口を目指し、最短距離を慎重に移動するしかない。,,,,main_10002_00c90048,,
,◆一時撤退,,,,main_10002_00d80048,,
,なんとか車を発進させ、我々は樹海を脱出した。,,,,main_10002_00d90048,,
,脱出の際に見た異様な男と、知った顔の男。あれは木村だ。,,,,main_10002_00da0048,,
,木村の首はあらぬ方向に曲がり、息絶えているように見えた。,,,,main_10002_00db0048,,
