location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,一男,一男,,,char_00000_00000001,,
,八敷,八敷,,,char_00000_00000002,,
,【苗字】,【苗字】,,,char_00000_00000003,,
,つかさ,司,,,char_00000_00000004,,
,吉田,吉田,,,char_00000_00000005,,
,つかさ,司,,,char_00000_00000006,,
,すず,铃,,,char_00000_00000007,,
,森宮,森宫,,,char_00000_00000008,,
,すず,铃,,,char_00000_00000009,,
,萌,萌,,,char_00000_0000000a,,
,渡辺,渡边,,,char_00000_0000000b,,
,萌,萌,,,char_00000_0000000c,,
,翔,翔,,,char_00000_0000000d,,
,長嶋,长岛,,,char_00000_0000000e,,
,翔,翔,,,char_00000_0000000f,,
,愛,爱,,,char_00000_00000010,,
,柏木,柏木,,,char_00000_00000011,,
,愛,爱,,,char_00000_00000012,,
,悟,悟,,,char_00000_00000013,,
,真下,真下,,,char_00000_00000014,,
,真下,真下,,,char_00000_00000015,,
,まどか,圆,,,char_00000_00000016,,
,広尾,广尾,,,char_00000_00000017,,
,広尾,广尾,,,char_00000_00000018,,
,栄太,荣太,,,char_00000_00000019,,
,中松,中松,,,char_00000_0000001a,,
,栄太,荣太,,,char_00000_0000001b,,
,クリスティ,克里斯蒂,,,char_00000_0000001c,,
,有村,有村,,,char_00000_0000001d,,
,クリスティ,克里斯蒂,,,char_00000_0000001e,,
,修治,修治,,,char_00000_0000001f,,
,大門,大门,,,char_00000_00000020,,
,大門,大门,,,char_00000_00000021,,
,伊東,伊东,,,char_00000_00000022,,
,バンシー,班西,,,char_00000_00000023,,
,バンシー,班西,,,char_00000_00000024,,
,都和子,都和子,,,char_00000_00000025,,
,安岡,安冈,,,char_00000_00000026,,
,安岡,安冈,,,char_00000_00000027,,
