location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,行動を始めますか？,要执行行动吗？,,,exe_00000_00000001,,
,[target]たちは　傷を負った。,[target]和同伴都受伤了。,,,exe_00000_00000002,,
,[target]に　傷を負わせた。,对[target]造成了伤害。,,,exe_00000_00000003,,
,"[name]は 凄まじい再生力で
ＨＰを回復した！","[name]は 凄まじい再生力で
ＨＰを回復した！",,,exe_00000_00000004,,
,[target]は　傷を負った。,[target]受伤了。,,,exe_00000_00000005,,
,[name]は　力尽きた。,[name]失去了力气。,,,exe_00000_00000006,,
,しかし効果がなかった。,但是并没有效果。,,,exe_00000_00000007,,
,[name]は [target] の注意を引き付けた！,[name]吸引了[target]的注意力！,,,exe_00000_00000008,,
,[name]は　正気を失っている！,[name]正处于神志不清的状态！,,,exe_00000_00000009,,
,"怪異が遠すぎるので
このアイテムは使えません","由于距离怪异太远，
无法使用当前道具",,,exe_00000_0000000a,,
,"他の印人が使っているので
このアイテムは使えません","由于有其他印人正在使用，
无法使用当前道具",,,exe_00000_0000000b,,
,しかし届かなかった。,但是并没有命中。,,,exe_00000_0000000c,,
,[name]はこのアイテム使用できません,[name]无法使用当前道具,,,exe_00000_0000000d,,
,"ＢＧＭの音量設定を変更できます。
変更したら「保存して終了」をして下さい。
「キャンセル」で変更を中止します。","可通过本选项更改BGM音量。
更改后请按下“保存并退出”按钮。
可通过按下“取消”按钮放弃更改。",,,exe_00000_0000000e,,
,"効果音の音量設定を変更できます。
変更したら「保存して終了」をして下さい。
「キャンセル」で変更を中止します。","可通过本选项更改音效音量。
更改后请按下“保存并退出”按钮。
可通过按下“取消”按钮放弃更改。",,,exe_00000_0000000f,,
,このアイテムはもう使えません,这个道具已经不能再使用了。,,,exe_00000_00000010,,
,[name]は　力を取り戻した。,[name]恢复了力量。,,,exe_00000_00000011,,
,設定内容を保存せず終了しますか？,确认要在未保存设置的情况下关闭吗？,,,exe_00000_00000012,,
,◆◆◆　%sターン　◆◆◆,◆◆◆　%s回合　◆◆◆,,,exe_00000_00000013,,
,"環境音の音量設定を変更できます。
変更したら「保存して終了」をして下さい。
「キャンセル」で変更を中止します。","可通过本选项更改环境音音量。
更改后请按下“保存并退出”按钮。
可通过按下“取消”按钮放弃更改。",,,exe_00000_00000014,,
,"0
1
2
3
4
5
6
7
8
9","0
1
2
3
4
5
6
7
8
9",,,exe_00000_00000015,,
,鍵がかけられている扉がある。,有一扇上了锁的门。,,,exe_00000_00000016,,
,九条館に帰りますか？,要返回九条馆吗？,,,exe_00000_00000017,,
,[ItemName]を使って扉を開けますか？,要使用[ItemName]开门吗？,,,exe_00000_00000018,,
,[ItemName]で扉が開いた！,使用[ItemName]将门打开了！,,,exe_00000_00000019,,
,０,0,,,exe_00000_0000001a,,
,１,1,,,exe_00000_0000001b,,
,はい,是,,,exe_00000_0000001c,,
,いいえ,否,,,exe_00000_0000001d,,
,４,4,,,exe_00000_0000001e,,
,５,5,,,exe_00000_0000001f,,
,２,2,,,exe_00000_00000020,,
,３,3,,,exe_00000_00000021,,
,８,8,,,exe_00000_00000022,,
,９,9,,,exe_00000_00000023,,
,６,6,,,exe_00000_00000024,,
,７,7,,,exe_00000_00000025,,
,イベント,事件,,,exe_00000_00000026,,
,怪異,怪异,,,exe_00000_00000027,,
,"タイトル画面に戻りますか？
保存されていない進行状況はすべて失われます。","确认要返回标题界面吗？
未保存的进度将会全部丢失。",,,exe_00000_00000028,,
,●,●,,,exe_00000_00000029,,
,"現在よりも新しいバージョンで作成されたセーブデータ
です。セーブデータをロードするためには、アプリケー
ションを最新バージョンにアップデートしてください。","現在よりも新しいバージョンで作成されたセーブデータ
です。セーブデータをロードするためには、アプリケー
ションを最新バージョンにアップデートしてください。",,,exe_00000_0000002a,,
,"セーブデータに含まれる追加コンテンツと
インストール済みのコンテンツが一致しないため、
このセーブデータは使用できません。","セーブデータに含まれる追加コンテンツと
インストール済みのコンテンツが一致しないため、
このセーブデータは使用できません。",,,exe_00000_0000002b,,
,"タイトルに「おもかげ」が追加されました。
「おもかげ」ではグラフィックの閲覧が可能です。","标题界面中增加了“回忆相册”选项。
可以在“回忆相册”中查阅图像。",,,exe_00000_0000002c,,
,サウンド,声音,,,exe_00000_0000002d,,
,セーブデータをロード中……,正在载入存档数据……,,,exe_00000_0000002e,,
,データをロードしました！,数据已载入完成！,,,exe_00000_0000002f,,
,"以前に適用した追加コンテンツを
全て再ダウンロードしてください。","以前に適用した追加コンテンツを
全て再ダウンロードしてください。",,,exe_00000_00000030,,
,このセーブデータは体験版で使用できません。,このセーブデータは体験版で使用できません。,,,exe_00000_00000031,,
,データをセーブしますか？,要进行存档吗？,,,exe_00000_00000032,,
,"データを保存しています。
アプリケーションを終了しないでください。","正在保存数据，
请不要关闭应用程序。",,,exe_00000_00000033,,
,ロードに失敗しました。,载入失败。,,,exe_00000_00000034,,
,このセーブデータを上書きしますか？,确认要覆盖这个存档数据吗？,,,exe_00000_00000035,,
,"セーブするスロットを選択してください。
ゲーム中のセーブはここで選択したスロットに行われます。","セーブするスロットを選択してください。
ゲーム中のセーブはここで選択したスロットに行われます。",,,exe_00000_00000036,,
,ここまでのプレイをセーブします。よろしいですか？,确认要保存当前游戏进度吗？,,,exe_00000_00000037,,
,データをセーブしました！,存档数据已成功保存。,,,exe_00000_00000038,,
,"セーブデータを選択してロードします。
ゲームはじめからプレイしたい場合は、
ロード画面でＢボタンを押して下さい。","将选择存档数据并载入。
如果想要从头开始游戏，
请在载入界面按下B按钮。",,,exe_00000_00000039,,
,"%s
進行：１章","%s
进度：第1章",,,exe_00000_0000003a,,
,"%s
進行：２章","%s
进度：第2章",,,exe_00000_0000003b,,
,セーブが完了しました。,存档成功。,,,exe_00000_0000003c,,
,九条館,九条馆,,,exe_00000_0000003d,,
,"%s
進行：５章","%s
进度：第5章",,,exe_00000_0000003e,,
,"%s
進行：６章","%s
进度：第6章",,,exe_00000_0000003f,,
,"%s
進行：３章","%s
进度：第3章",,,exe_00000_00000040,,
,"%s
進行：４章","%s
进度：第4章",,,exe_00000_00000041,,
,★,★,,,exe_00000_00000042,,
,"破損したシステムデータを読み込みました。
環境設定を初期化します。","读取到已损坏的系统数据。
将初始化选项设置。",,,exe_00000_00000043,,
,"死印をクリアしました。
ここまでのプレイをセーブしますか？","您已经通关死印。
是否保存此进度？",,,exe_00000_00000044,,
,"
クリアセーブデータ",通关存档,,,exe_00000_00000045,,
,相手が無効です。,对象无效。,,,exe_00000_00000046,,
,主人公の道具袋に空きがないため変更が行えません。,主人公の道具袋に空きがないため変更が行えません。,,,exe_00000_00000047,,
,そのアイテムを移動することはできません。,そのアイテムを移動することはできません。,,,exe_00000_00000048,,
,アイテムを渡せませんでした。,アイテムを渡せませんでした。,,,exe_00000_00000049,,
,"主人公の苗字を決めてください。
（最大５文字まで）","请决定主人公的姓氏。
（最多5个字）",,,exe_00000_0000004a,,
,苗字は@1r@y2@0rでよろしいですか？,确认要使用@1r@y2@0r作为姓氏吗？,,,exe_00000_0000004b,,
,交換,交換,,,exe_00000_0000004c,,
,渡す,渡す,,,exe_00000_0000004d,,
,"@1r@y2　@y4@0rでよろしいですか？
（以降、氏名を変更することはできません）","确认使用@1r@y2　@y4@0r作为主人公的姓名吗？
（之后将无法进行更改）",,,exe_00000_0000004e,,
,名前を入力してください。,请输入主人公的名字。,,,exe_00000_0000004f,,
