location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,女子高生の噂話　１,女高中生的闲谈　１,,,gallery_00000_00000001,,
,女子高生の噂話　２,女高中生的闲谈　２,,,gallery_00000_00000002,,
,残された腕と呪いの痣,残留的手与诅咒红斑,,,gallery_00000_00000003,,
,刻まれたシルシ　１,被刻上的印记　１,,,gallery_00000_00000004,,
,刻まれたシルシ　２,被刻上的印记　２,,,gallery_00000_00000005,,
,刻まれたシルシ　３,被刻上的印记　３,,,gallery_00000_00000006,,
,刻まれたシルシ　４,被刻上的印记　４,,,gallery_00000_00000007,,
,闇の中の人影　１,黑暗中的人影　１,,,gallery_00000_00000008,,
,闇の中の人影　２,黑暗中的人影　２,,,gallery_00000_00000009,,
,鳴り響く振り子時計,鸣响的摆钟,,,gallery_00000_0000000a,,
,咲き乱れる妖花と遺体　１,盛开的妖花和尸体　１,,,gallery_00000_0000000b,,
,咲き乱れる妖花と遺体　２,盛开的妖花和尸体　２,,,gallery_00000_0000000c,,
,言葉を話す人形メリイ　１,会说话的人偶梅莉　１,,,gallery_00000_0000000d,,
,言葉を話す人形メリイ　２,会说话的人偶梅莉　２,,,gallery_00000_0000000e,,
,鏡の花彦くん,镜中的花彦君,,,gallery_00000_0000000f,,
,植物化した警備員,植物化了的警卫,,,gallery_00000_00000010,,
,薔薇に巻かれた犠牲者,被玫瑰缠绕的牺牲者,,,gallery_00000_00000011,,
,闇に潜む花彦くん,潜藏在黑暗中的花彦君,,,gallery_00000_00000012,,
,花彦くんの影,花彦君的影子,,,gallery_00000_00000013,,
,薔薇に捉えられた萌,被玫瑰抓住的萌,,,gallery_00000_00000014,,
,復讐の呪詛　花彦くん,复仇的诅咒　花彦君,,,gallery_00000_00000015,,
,街に潜む怪異,潜藏在街道上的怪异,,,gallery_00000_00000016,,
,第１章　花彦くん,第１章　花彦君,,,gallery_00000_00000017,,
,第１章　花彦くん　完,第１章　花彦君　完,,,gallery_00000_00000018,,
,穴を穿かれた遺体,满身是孔的尸体,,,gallery_00000_00000019,,
,地面から這い出る地縛霊,爬出地面的地缚灵,,,gallery_00000_0000001a,,
,襲い来るスズメバチ,袭来的黄蜂,,,gallery_00000_0000001b,,
,ベンチでくつろぐシミ男と正男,坐在长椅上休息的斑痕男和正男,,,gallery_00000_0000001c,,
