"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","骨だけの傘","只有骨架的伞","","False","item_00000_00000001","",""
"","多目的教室で見つけた傘。
傘布が外され、骨組みだけの
状態になっている。
スチールで作られた骨は重い
かわりに非常に頑丈。
　
　
【コマンド】
　傘を開く
【有効距離】
　遠距離","在多功能教室发现的伞。
伞布被拆走了，只有骨架。
钢制的骨架虽然重，但非常
坚固。
　
　
　
【指令】
　撑开雨伞
【范围】
　远","","False","item_00000_00000002","",""
"","ビニールシート","塑料布","","False","item_00000_00000003","",""
"","Ｈ小学校の地下室で見つけた
厚手のビニールシート。
全体が血で黒く汚れており、
シート本来の色がわからなく
なっている。
　
　
【コマンド】
　シートを広げる
【有効距離】
　遠距離","在Ｈ小学的地下室发现的厚
实塑料布。
整体被血染黑，已经看不出
布的原本的颜色了。
　
　
　
【指令】
　摊开
【范围】
　远","","False","item_00000_00000004","",""
"","強化ビニール傘","","","","item_00000_00000005","",""
"","ほげほげ
強化
ビニール
傘
ダヨー
　
　
　
　
　
　","

　
　
　
　
　
　","","False","item_00000_00000006","",""
"","ビールの空き缶","","","","item_00000_00000007","",""
"","ほげほげ
ビール
の
空き缶
ダヨー
　
　
　
　
　
　","

　
　
　
　
　
　","","False","item_00000_00000008","",""
"","タバコの箱","","","","item_00000_00000009","",""
"","ほげほげ
タバコ
の
箱
ダヨー
　
　
　
　
　
　","


　
　
　
　
　
　","","False","item_00000_0000000a","",""
"","食塩","食盐","","False","item_00000_0000000b","",""
"","商店でよく見る食塩の小袋。
なぜ学校の教室にあったのだ
ろうか……
　
　
　
　
　
　
　
　","商店里常见的小袋食盐。
为什么会出现在学校的教室
里呢……
　
　
　
　
　
　
　
　","","False","item_00000_0000000c","",""
"","ペットボトル","塑料瓶","","False","item_00000_0000000d","",""
"","薄汚れた空のペットボトル。
特に目立った傷もないため、
キャップさえしめてしまえば
中に何か入れることができる。
　
　
　
【コマンド】
　入れる
【有効距離】
　近距離","有点脏的空塑料瓶。
没有特别明显的伤痕，
只要盖上瓶盖，
里面就能装些东西。
　
　
　
【指令】
　装进去
【范围】
　近","","False","item_00000_0000000e","",""
"","食塩水","食盐水","","False","item_00000_0000000f","",""
"","教室で発見した食塩と水とを
ペットボトル内で混ぜた物。
食塩を多く入れすぎたせいか
溶け残った白い物がボトルの
底にたまっている。
　
　
【コマンド】
　塩水をかける
【有効距離】
　近距離","在教室里发现的食盐和水在
塑料瓶里混合后的产物。
可能是食盐放多了，在瓶底
沉淀了一堆未溶化的白色
物质。
　
　
【指令】
　倒食盐水
【范围】
　近","","False","item_00000_00000010","",""
"","口紅","口红","","False","item_00000_00000011","",""
"","落とし物箱の中に入っていた
やや古びた口紅。蓋を外すと
赤い色彩が目を引く。
使い減っており、非常に短く
なっている。
　
　
【コマンド】
　口紅を塗る
【有効距離】
　近距離","放在失物保管箱里的略显陈
旧的口红。打开盖子，红色
的色彩引人注目。口红使用
了一部分，变得非常短。
　
　
　
【指令】
　涂口红
【范围】
　近","","False","item_00000_00000012","",""
"","丸手鏡","圆手镜","","False","item_00000_00000013","",""
"","花鳥の図柄が背面に刻まれた
金属製の丸い手鏡。ほこりと
汚れで鏡面は曇っているが、
そのままでも十分に使える。
　
　
　
【コマンド】
　みせる
【有効距離】
　遠距離","背面刻有花鸟图案的圆形金
属手镜。虽然镜面被灰尘和
污垢弄的有些模糊不清，但
是完全可以使用。
　
　
　
【指令】
　照镜子
【范围】
　远","","False","item_00000_00000014","",""
"","バラのツタ","玫瑰藤","","False","item_00000_00000015","",""
"","壁に生えているバラのツタを
切り取ったもの。細く長い。
　
　
ダヨー
　
　
　
　
　
　","从墙壁上的玫瑰藤上剪下来的一段藤蔓。
又细又长。
　
　
　
　
　
　","","False","item_00000_00000016","",""
"","発炎筒","发焰筒","","False","item_00000_00000017","",""
"","準備室の引き出しに、厳重に
しまわれていた非常時の道具。
樹脂製の表面は劣化しており、
ラベルの文字は掠れている。
使用期限内なので、おそらく
着火することはできるだろう。
　
【コマンド】
　発炎筒に火をつける
【有効距離】
　近距離","被严密保管在职员准备室柜
子里的应急工具。树脂材质
的表面已经老化，标签上的
文字也已模糊不清。还在使
用期限内，应该可以点得燃
吧。
　
【指令】
　点燃发焰筒
【范围】
　近","","False","item_00000_00000018","",""
"","おはよう家族","早安家人们","","False","item_00000_00000019","",""
"","ラベルに注意が書いてある。
『　※密告者　懲罰用※　
　浴びせてから棒で叩く！
　目覚めていればただの人』
噴霧器を使って散布できる。
主人公のみが使用できる。
　
【コマンド】
　噴霧：おはよう
【有効距離】
　近距離","标签上写着注意事项。
『　※告密者　惩罚用※　
　泼上这个再用棍子敲打！
　醒来之后就是个普通人』
可以用喷雾器喷洒。
只有主角可以使用。
　
【指令】
　喷雾：早上好
【范围】
　近","","False","item_00000_0000001a","",""
